2021-07-18,2021-08-02,2021-08-07,2021-08-17,2021-08-22,2021-08-27,2021-09-21,system:index,farmer_land_name,fieldID
0.1159936533608134,0.13135698288178965,0.11011340035345732,0.11597818119742662,0.12477088917971889,0.11545747525221146,0.14113247935104895,0,praskoveya,266
0.11747217796420285,0.13356416975498567,0.10373479548112945,0.10764050913137004,0.12087139772003354,0.10229919877225191,0.1198512390887931,1,praskoveya,267
0.004640930186970328,0.06327468969605186,-5.591249738414054E-4,-5.397044331200993E-4,0.015379923120979865,-0.0032145915392270533,0.05880300892296043,2,praskoveya,268
0.10231196884874093,0.11039524525403976,0.10106127606323802,0.10597506499131001,0.11867306619776966,0.09617447838627632,0.12060953747549645,3,praskoveya,269
0.003407354753429177,0.03658478884769527,4.817516205851509E-4,0.004401067782413251,0.014181832639153773,-0.0034078823300925367,0.05810180758727331,4,praskoveya,270
0.004614389188944885,0.059590712538626786,-0.0012053140929568554,0.004384430723434965,0.013891414797262256,-0.0032019926751090705,0.05324389689054206,5,praskoveya,271
0.1088530921102381,0.1434626759802155,0.10592734017169472,0.10687805628207196,0.11964103554733026,0.09718210621163129,0.11616287161708733,6,praskoveya,272
0.009021572198983517,0.05771274455267879,0.021758832376529633,0.024126916176041478,0.042252990418192006,0.021234081588517074,0.07007992366687979,7,praskoveya,273
0.09570524026332661,0.07127596417177388,0.01415358115890459,0.017094689713407576,0.03198478171198638,0.009272905576816377,0.06126335620087616,8,praskoveya,274
0.11924800124626675,0.06724352931298118,0.02515684511043407,0.02609099188457262,0.04172984313221728,0.021733359462125457,0.07054816960270305,9,praskoveya,275
0.09644744658051894,0.06141327073176702,0.007561339210140503,0.014397859956049011,0.032969198653745195,0.012209323935957627,0.07547665305309377,10,praskoveya,276
0.0993699410543409,0.06488108411008861,0.01197088072554513,0.016834647879603277,0.03783215114385073,0.013911410155590307,0.07542516421846351,11,praskoveya,277
0.005382761806950451,0.08672926075178491,0.01903172544734189,0.017836086005507987,0.049303449862605514,0.01637214751266579,0.06909386272783632,12,praskoveya,278
0.003418891779758557,0.08306527408039398,0.020237904403610014,0.01730780649283162,0.04031446434610907,0.016329074943019203,0.07541609636521633,13,praskoveya,279
0.13745582455901753,0.1416157971371661,0.1391712752366405,0.13723151708953943,0.13428804972670436,0.13421796745960332,0.17433221181124195,14,praskoveya,280
0.008293404048867591,0.0536486930699225,4.43724993425522E-4,0.014407937209173995,0.0708364724937019,-0.003667372143679746,0.07349244583262586,15,praskoveya,281
0.1194038043888932,0.16688598680133648,0.14086318303682313,0.1364643299897348,0.15677359511240072,0.12941370573335595,0.1499327813335703,16,praskoveya,282
0.1237741728479919,0.15523490480717442,0.1342329996853393,0.1293533569808227,0.14112242352219387,0.12358860497248443,0.1381838821285719,17,praskoveya,283
0.20265068725752183,0.19484701580246,0.19190714106925041,0.186044125411755,0.17290668968983777,0.18992177258089857,0.2016326285101615,18,praskoveya,284
0.20063896860017028,0.17764668087521557,0.2016498142163588,0.19966205691753514,0.16873499055667524,0.21536752996765807,0.22801581870414567,19,praskoveya,285
0.0014422489019368758,0.07309747923461218,0.006604708941103738,0.02561781131254372,0.0356268450248747,0.012936466453942861,0.09222465876097742,20,praskoveya,286
0.18798058242180998,0.17831145759374495,0.1928881500209254,0.19001872932820763,0.19386195191522923,0.19576699069856998,0.2144933443567831,21,praskoveya,287
0.1478915860364942,0.15334417992735913,0.14792951324588632,0.1606715855702006,0.13397851179946552,0.16743523692733128,0.20162970550752676,22,praskoveya,288
