farmer_land_name,fieldID,Dates,NDTI
Aleksandr,0,2019-07-19,0.0912869565798404
Aleksandr,1,2019-07-19,0.08068292220843479
Aleksandr,2,2019-07-19,0.08573790560283605
Aleksandr,3,2019-07-19,0.06101748318772535
Aleksandr,4,2019-07-19,0.10692388627135244
Aleksandr,5,2019-07-19,0.1049455421031009
Aleksandr,6,2019-07-19,0.1001073155560356
Aleksandr,7,2019-07-19,0.06293167240101047
Aleksandr,8,2019-07-19,0.09803119595804978
Aleksandr,9,2019-07-19,0.10699944523380114
Aleksandr,10,2019-07-19,0.10692113636434784
Aleksandr,11,2019-07-19,0.08836604744709206
Aleksandr,12,2019-07-19,0.0981067838369046
Aleksandr,13,2019-07-19,0.10790548611097052
Aleksandr,14,2019-07-19,0.10986617399418984
Aleksandr,15,2019-07-19,0.10009636514313634
Aleksandr,16,2019-07-19,0.10008190036377757
Aleksandr,17,2019-07-19,0.06492356874591072
Aleksandr,18,2019-07-19,0.08638575739128193
Aleksandr,19,2019-07-19,0.0961845628692792
Aleksandr,20,2019-07-19,0.07473624537604186
Aleksandr,21,2019-07-19,0.1010763587629272
Aleksandr,22,2019-07-19,0.10691995295967416
Aleksandr,23,2019-07-19,0.099101222208973
Aleksandr,24,2019-07-19,0.13328878158341712
Aleksandr,25,2019-07-19,0.1371687086620508
Aleksandr,26,2019-07-19,0.08687329640470348
Aleksandr,27,2019-07-19,0.10053551918975702
Aleksandr,28,2019-07-19,0.09667760559490747
Aleksandr,29,2019-07-19,0.10983515744917093
Aleksandr,30,2019-07-19,0.1225425868855399
Aleksandr,31,2019-07-19,0.1468516502064857
Aleksandr,32,2019-07-19,0.08740799673685823
Aleksandr,33,2019-07-19,0.13621171212183406
Aleksandr,34,2019-07-19,0.10059224813069402
Aleksandr,35,2019-07-19,0.07299798759153513
Aleksandr,36,2019-07-19,0.08302504793644007
Aleksandr,37,2019-07-19,0.09666485669740432
Aleksandr,38,2019-07-19,0.07755176470645013
Aleksandr,39,2019-07-19,0.062039046897552914
Aleksandr,40,2019-07-19,0.08885916736399628
Aleksandr,41,2019-07-19,0.1303268858119976
Aleksandr,42,2019-07-19,0.0910380393266678
Aleksandr,43,2019-07-19,0.15477604446126125
Aleksandr,44,2019-07-19,0.11762594459049215
Aleksandr,45,2019-07-19,0.07703720795485478
Aleksandr,46,2019-07-19,0.0795468705705388
Aleksandr,47,2019-07-19,0.13234844190232894
Aleksandr,48,2019-07-19,0.08454121963778083
Aleksandr,49,2019-07-19,0.05908751577102792
Aleksandr,50,2019-07-19,0.10011265893103052
Aleksandr,51,2019-07-19,0.10496137675923922
Aleksandr,52,2019-07-19,0.09817122089663456
Aleksandr,53,2019-07-19,0.09521037905668704
Aleksandr,54,2019-07-19,0.07961497445182131
Aleksandr,0,2019-07-29,0.06737568686347567
Aleksandr,1,2019-07-29,0.047239099982093816
Aleksandr,2,2019-07-29,0.034428084968914134
Aleksandr,3,2019-07-29,0.018462979079566545
Aleksandr,4,2019-07-29,0.09721135270073948
Aleksandr,5,2019-07-29,0.08374988641274178
Aleksandr,6,2019-07-29,0.07666265769336827
Aleksandr,7,2019-07-29,0.032226143924842736
Aleksandr,8,2019-07-29,0.04739198305488105
Aleksandr,9,2019-07-29,0.06398226886590791
Aleksandr,10,2019-07-29,0.10986521161089732
Aleksandr,11,2019-07-29,0.057150364423187876
Aleksandr,12,2019-07-29,0.0984875611291839
Aleksandr,13,2019-07-29,0.0913200143377666
Aleksandr,14,2019-07-29,0.0849325524351916
Aleksandr,15,2019-07-29,0.05568866130563637
Aleksandr,16,2019-07-29,0.0542101762895363
Aleksandr,17,2019-07-29,0.031732422258604384
Aleksandr,18,2019-07-29,0.05711123723818772
Aleksandr,19,2019-07-29,0.08935942456205702
Aleksandr,20,2019-07-29,0.03857572449746894
Aleksandr,21,2019-07-29,0.09421963972438166
Aleksandr,22,2019-07-29,0.0991122041952786
Aleksandr,23,2019-07-29,0.09349540190413906
Aleksandr,24,2019-07-29,0.16549787121094636
Aleksandr,25,2019-07-29,0.14887129182238387
Aleksandr,26,2019-07-29,0.04976116801135108
Aleksandr,27,2019-07-29,0.03610812302971742
Aleksandr,28,2019-07-29,0.06542658114154609
Aleksandr,29,2019-07-29,0.09662564982715162
Aleksandr,30,2019-07-29,0.10106558024434248
Aleksandr,31,2019-07-29,0.021737236850328003
Aleksandr,32,2019-07-29,0.0613577835960267
Aleksandr,33,2019-07-29,0.02417228652856013
Aleksandr,34,2019-07-29,0.08502300427382391
Aleksandr,35,2019-07-29,0.016117083563500712
Aleksandr,36,2019-07-29,0.055638238393269236
